Y,Z
0.04561005525,0.06050039475
0.04618850239,0.06060134985
0.04676837049,0.06069379457
0.04734953334,0.06077771589
0.04793177621,0.06085380522
0.04851421729,0.06092838154
0.04909665837,0.06100295787
0.04967909944,0.06107753419
0.05026154052,0.06115211051
0.05084398159,0.06122668684
0.05142642267,0.06130126316
0.05200886374,0.06137583948
0.05259130482,0.06145041581
0.0531737459,0.06152499213
0.05375618697,0.06159956845
0.05433862805,0.06167414478
0.05492106912,0.0617487211
0.0555035102,0.06182329742
0.05608595127,0.06189787375
0.05666839235,0.06197245007
0.05725083343,0.06204702639
0.0578332745,0.06212160272
0.05841571558,0.06219617904
0.05899815665,0.06227075536
0.05958059773,0.06234533169
0.06016091158,0.06243318098
0.06071741478,0.06261758876
0.06122742592,0.06290670803
0.061671468,0.06328949622
0.0620325845,0.06375133356
0.06229698705,0.06427458207
0.06245458135,0.06483926005
0.062500035,0.06542381029
0.062500035,0.06601100637
0.062500035,0.06659820245
0.062500035,0.06718539853
0.062500035,0.0677725946
0.062500035,0.06835979068
0.062500035,0.06894698676
0.062500035,0.06953418284
0.062500035,0.07012137892
0.062500035,0.070708575
0.062500035,0.07129577108
0.062500035,0.07188296715
0.062500035,0.07247016323
0.06247151048,0.07305574807
0.06228974894,0.0736118892
0.06195479768,0.07409161482
0.061495364,0.07445390058
0.06095073726,0.07466770126
0.06036744676,0.07471913928
0.05978025068,0.07471913928
0.0591930546,0.07471913928
0.05860585853,0.07471913928
0.05801866245,0.07471913928
0.05743146637,0.07471913928
0.05684427029,0.07471913928
0.05625707421,0.07471913928
0.05566987813,0.07471913928
0.05508268205,0.07471913928
0.05449548598,0.07471913928
0.0539082899,0.07471913928
0.05332109382,0.07471913928
0.05273389774,0.07471913928
0.05214670166,0.07471913928
0.05155950558,0.07471913928
0.0509723095,0.07471913928
0.05038511343,0.07471913928
0.04979791735,0.07471913928
0.04921072127,0.07471913928
0.04862352519,0.07471913928
0.04803632911,0.07471913928
0.04744913303,0.07471913928
0.04686193695,0.07471913928
0.04627474088,0.07471913928
0.0456875448,0.07471913928
0.04510034872,0.07471913928
0.04451315264,0.07471913928
0.04392595656,0.07471913928
0.04333876048,0.07471913928
0.0427515644,0.07471913928
0.04216436833,0.07471913928
0.04157717225,0.07471913928
0.04098997617,0.07471913928
0.04040278009,0.07471913928
0.03981558401,0.07471913928
0.03922838793,0.07471913928
0.03864119185,0.07471913928
0.03805399578,0.07471913928
0.0374667997,0.07471913928
0.03687960362,0.07471913928
0.03629240754,0.07471913928
0.03570521146,0.07471913928
0.03511801538,0.07471913928
0.0345308193,0.07471913928
0.03394362323,0.07471913928
0.03335642715,0.07471913928
0.03276923107,0.07471913928
0.03218203499,0.07471913928
0.03159483891,0.07471913928
0.03100764283,0.07471913928
0.03042044675,0.07471913928
0.02983325067,0.07471913928
0.0292460546,0.07471913928
0.02865885852,0.07471913928
0.02807166244,0.07471913928
0.02748446636,0.07471913928
0.02689727028,0.07471913928
0.0263100742,0.07471913928
0.02572287812,0.07471913928
0.02513568205,0.07471913928
0.02454848597,0.07471913928
0.02396128989,0.07471913928
0.02337409381,0.07471913928
0.02278689773,0.07471913928
0.02219970165,0.07471913928
0.02161250557,0.07471913928
0.0210253095,0.07471913928
0.02043811342,0.07471913928
0.01985091734,0.07471913928
0.01926372126,0.07471913928
0.01867652518,0.07471913928
0.0180893291,0.07471913928
0.01750213302,0.07471913928
0.01691493695,0.07471913928
0.01632774087,0.07471913928
0.01574054479,0.07471913928
0.01515334871,0.07471913928
0.01456615263,0.07471913928
0.01397895655,0.07471913928
0.01339176047,0.07471913928
0.0128045644,0.07471913928
0.01221736832,0.07471913928
0.01163017224,0.07471913928
